Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Baltimore City,2030,Non-Hisp Other Female,846,787,764,1399,1892,1444,1229,1148,1772,1837,1448,1108,793,680,625,427,259,122,18580
Talbot County,2035,Total Male,1005,1082,1124,1019,835,955,1020,930,924,1140,1096,963,1130,1348,1578,1390,1001,1016,19556
Anne Arundel County,2040,Non-Hisp Black Male,4562,4648,4793,4665,4290,4370,4664,4833,4596,4732,4471,4422,3235,2750,2101,1715,1028,704,66579
St. Mary's County,2030,Non-Hisp White Male,3276,3179,3252,3085,2887,3287,3309,3518,3477,3292,2834,2611,2861,3062,2376,1571,1213,1177,50267
Howard County,2040,Total,19728,21488,23908,23535,19853,20790,20630,22755,25484,26546,23387,22336,19652,18259,17449,17821,13885,14341,371847
Washington County,2010,Non-Hisp White Male,3363,3658,3833,3777,3310,3625,3559,3867,4615,5157,4890,4295,3703,2759,2078,1648,1204,940,60281
Garrett County,2045,Non-Hisp Other Male,41,48,58,40,34,26,22,45,25,17,21,13,7,5,3,1,3,8,417
Allegany County,2015,Hispanic Male,20,32,47,73,71,90,109,85,93,60,43,24,12,16,7,4,3,4,793
Somerset County,2045,Total Hispanic,154,151,132,186,161,99,78,87,65,36,47,38,18,9,2,1,1,1,1266
Montgomery County,2040,Non-Hisp Black Female,8705,8286,9020,8580,8137,9806,9704,12586,10402,9902,10594,9060,7255,6440,6102,5240,3685,4318,147822
Carroll County,2010,Hispanic Female,205,239,198,190,158,147,135,153,154,143,96,61,44,30,15,20,23,9,2020
Howard County,2030,Non-Hisp Other Male,3360,3662,3915,4103,3743,3599,3551,3627,3398,3405,3237,3113,2549,2227,1746,1259,825,591,51910
Harford County,2030,Total,16545,16418,15777,14918,14354,15766,18066,18484,17169,16259,14289,15074,16725,17918,15592,10855,8379,9271,271859
Talbot County,2025,Non-Hisp Black Male,121,155,172,164,168,134,140,114,117,118,151,177,207,147,130,105,61,45,2426
Talbot County,2040,Non-Hisp White Male,652,709,752,695,528,530,613,713,700,685,797,792,733,998,1187,1268,953,1015,14320
Kent County,2015,Total Male,381,482,493,614,716,529,448,454,447,523,757,677,673,722,602,363,272,219,9372
Frederick County,2010,Non-Hisp White Male,4927,5787,6445,6395,4995,4913,4689,5692,7142,8424,7701,6508,5417,3584,2397,1730,1301,1073,89120
Anne Arundel County,2035,Non-Hisp White Male,9349,9359,9536,9621,10198,9899,10489,11252,11861,12235,11590,9406,9619,10548,10814,8591,5743,5414,175524
Washington County,2015,Non-Hisp Black Female,560,488,531,527,450,400,355,431,434,407,423,344,250,168,64,46,34,26,5938
Worcester County,2010,Total Hispanic,176,161,108,112,180,172,159,133,124,94,51,39,31,28,21,15,14,4,1622
Howard County,2015,Total Non-Hispanic White,7839,7716,10500,10849,9642,10215,9379,8410,9533,12449,16130,15364,13082,10505,7071,4438,2928,3158,169208
Wicomico County,2025,Total,6673,6142,5997,9231,10107,7676,7005,7169,6352,6374,5705,6017,6614,6372,5190,3900,2368,2512,111404
St. Mary's County,2020,Total Hispanic,571,719,689,584,516,483,489,548,442,330,312,245,193,94,78,46,24,8,6371
Montgomery County,2035,Non-Hisp Other Male,8911,8420,8214,7646,6919,8182,8386,7915,7048,6785,6918,6963,7065,6171,5701,4337,3081,6787,125449
Prince George's County,2035,Total Non-Hispanic White,4513,4166,4362,7828,10941,6768,5866,6368,8015,7212,5313,4491,4087,4528,5762,5913,4404,4769,105306
Allegany County,2035,Total Male,1631,1844,1887,2493,2840,2742,3334,2989,3259,2630,2630,2144,2080,2088,1898,1581,1052,966,40088
Somerset County,2035,Total Female,692,658,674,1512,1483,801,728,614,772,601,691,669,694,701,762,622,448,447,13569
Allegany County,2010,Hispanic Male,29,40,30,61,92,90,107,71,70,48,32,16,16,7,6,5,3,4,727
Baltimore County,2040,Hispanic Male,2804,2723,2618,2802,2630,2635,2466,2236,2065,2240,2510,2510,2197,1691,909,627,291,158,36112
Carroll County,2025,Non-Hisp Black Male,177,131,102,179,263,279,335,259,305,218,303,369,371,249,148,89,41,32,3850
Harford County,2035,Non-Hisp White Female,4895,4937,4879,4602,4131,4694,5483,6501,6401,5975,5633,4981,5303,6295,7078,6031,4826,8034,100679
Montgomery County,2030,Total Non-Hispanic Black,16434,14848,16366,15626,12964,18938,17134,18149,18855,16261,14222,13111,11983,10970,9220,6112,3884,3745,238822
Baltimore County,2040,Non-Hisp Black Female,10664,10936,11424,11652,11808,11932,12144,11494,12106,12433,11178,10131,9599,9463,9180,8077,6102,8228,188551
Baltimore County,2015,Hispanic Male,2482,2184,1788,1649,1907,2346,2415,2101,1709,1240,901,676,462,310,152,119,69,62,22572
Calvert County,2020,Total Non-Hispanic Black,598,589,786,732,756,684,742,638,765,800,1119,1154,931,750,551,364,219,183,12361
State of Maryland,2025,Non-Hisp Black Male,63173,62189,64999,66149,62327,60185,67333,63826,59934,54207,52924,55102,54039,43494,29822,20184,11094,8842,899823
Dorchester Co,2045,Non-Hisp Black Female,388,369,446,409,352,338,381,471,372,384,399,509,448,373,365,294,225,556,7079
Queen Anne's County,2040,Total,3472,3810,3827,3272,2321,2275,3212,3862,4148,3876,4074,3646,2995,3361,3746,3880,2549,2708,61034
Queen Anne's County,2010,Hispanic Male,82,78,56,63,84,110,74,64,50,43,27,15,13,9,4,2,1,2,777
Washington County,2045,Hispanic Female,587,583,570,539,516,462,496,550,464,376,314,263,249,280,233,212,145,20,6859
Baltimore County,2025,Hispanic Male,2712,2640,2791,2751,2406,2130,2294,2593,2604,2286,1775,1253,927,673,348,228,94,79,30584
Dorchester Co,2035,Hispanic Female,203,174,144,138,145,170,132,93,45,49,41,41,11,15,16,11,14,3,1445
Kent County,2030,Hispanic Female,34,24,22,41,40,33,28,19,29,37,31,19,17,9,2,2,1,0,388
Queen Anne's County,2020,Total Hispanic,195,198,193,151,134,117,157,165,147,126,103,95,44,20,10,11,11,6,1883
Cecil County,2015,Non-Hisp White Female,2080,2614,2800,2591,2270,2661,2449,2544,2877,3464,3822,3674,3111,2522,1748,1196,907,960,44290
Somerset County,2040,Non-Hisp Black Male,364,353,408,840,1530,836,677,609,620,508,320,257,237,163,105,128,100,41,8096
Talbot County,2035,Non-Hisp Black Male,135,180,200,189,173,171,168,123,144,142,153,148,162,164,171,116,89,68,2696
Anne Arundel County,2030,Hispanic Female,2698,2467,2420,2627,2604,2237,1861,1738,1965,2045,1817,1498,1123,679,502,339,192,95,28907
Washington County,2035,Total Non-Hispanic White,7498,7619,7636,7108,6382,7783,7705,7258,6885,7529,7622,7242,7647,8328,8338,7123,5000,5599,130302
Washington County,2030,Non-Hisp White Female,3699,3531,3342,2957,3499,3688,3338,3505,3787,3897,3531,4042,4621,4894,4221,3606,2592,2935,65685
Queen Anne's County,2045,Total Female,1799,2036,2109,1809,1365,1267,1571,1996,2273,2137,2101,2090,1834,1493,1663,1925,1598,2080,33146
Kent County,2010,Non-Hisp Other Female,37,34,20,33,33,12,14,6,9,17,16,14,14,9,3,2,5,3,281
Montgomery County,2010,Non-Hisp Other Female,6292,6422,5786,4853,4328,6171,7151,7416,7259,7258,6288,5321,4346,3052,2240,1529,965,890,87567
Queen Anne's County,2010,Hispanic Female,97,62,73,41,56,51,69,49,46,50,28,19,9,6,8,6,4,1,675
Wicomico County,2020,Total Non_Hispanic Other,408,423,741,875,678,437,430,369,385,374,333,346,269,195,152,76,23,15,6529
Talbot County,2025,Total,1804,1926,1989,2034,1789,1659,1775,2089,2229,1963,2182,2556,3157,3399,3126,2682,1937,1759,40055
Caroline County,2020,Non-Hisp Black Male,139,156,174,183,118,92,105,138,114,140,162,173,158,142,125,53,28,18,2218
Washington County,2015,Total Non-Hispanic White,5672,6666,7213,6701,5994,6894,7109,7076,7810,9083,10010,9470,8344,7072,5260,3943,2915,3343,120575
Prince George's County,2045,Non-Hisp Other Female,2232,2041,2012,3304,3086,2558,2175,2634,2686,2741,2898,2722,2395,2125,1591,1284,824,833,40141
Prince George's County,2015,Total Non-Hispanic White,5270,3756,3417,8416,14566,10041,6914,5813,5438,6474,9000,10452,9789,8225,6320,4727,3517,4094,126229
Baltimore City,2045,Total Non-Hispanic Black,24056,25156,23894,27225,27058,24853,23524,25417,24124,23478,26111,25045,21856,16759,13374,12577,11706,12599,388812
Caroline County,2035,Total Hispanic,606,525,434,325,303,287,344,197,179,123,118,113,51,33,22,17,11,10,3698
Allegany County,2030,Non-Hisp White Male,1494,1713,1717,1851,1995,1750,2164,2406,1964,2055,1845,1908,2164,2090,1848,1416,990,826,32196
Carroll County,2025,Non-Hisp Other Female,308,252,229,466,343,292,245,217,181,195,279,240,192,186,116,69,44,39,3893
Garrett County,2020,Total Hispanic,45,54,35,35,30,15,18,23,31,29,18,13,13,6,6,4,8,6,389
Frederick County,2025,Non-Hisp Other Female,1077,842,809,1269,1096,1281,1157,882,834,857,966,787,635,487,305,232,164,90,13770
Calvert County,2045,Hispanic Male,220,227,212,195,147,129,153,139,172,133,118,105,51,43,28,31,14,34,2151
Washington County,2025,Non-Hisp White Female,3505,3149,2861,3462,3437,3335,3208,3760,3816,3594,3898,4600,5087,4569,3796,3250,2070,2579,63976
Anne Arundel County,2035,Total Non-Hispanic White,18301,18452,18839,18573,19035,19781,20419,21843,22952,24019,22418,19359,20033,22408,23644,19271,13958,14161,357466
Anne Arundel County,2035,Hispanic Male,3082,2789,2519,2675,2994,2531,2102,1773,1790,2052,2388,2002,1469,1057,763,513,291,85,32875
Kent County,2020,Non-Hisp White Female,273,338,398,608,471,309,366,297,336,372,572,714,810,794,645,496,329,470,8598
Kent County,2010,Total,995,978,953,1505,1654,975,855,911,1108,1404,1542,1432,1488,1415,885,751,683,663,20197
Wicomico County,2020,Non-Hisp Other Female,178,195,400,531,373,235,218,186,204,203,172,168,136,124,89,41,20,14,3487
Garrett County,2010,Non-Hisp White Female,710,795,886,992,720,738,735,906,993,1172,1178,1092,1017,854,624,515,421,435,14783
Somerset County,2045,Total Male,761,712,772,1328,2166,1249,1075,1012,1124,1009,943,838,738,669,503,390,427,328,16044
Baltimore County,2020,Total Non-Hispanic Black,16564,17388,18953,17818,18137,20001,18192,16643,16106,16059,16753,16338,14240,11453,8476,4843,2965,3604,254533
Howard County,2040,Total Non-Hispanic White,4197,5234,6721,6394,4789,4915,4400,6245,8553,9758,8218,7425,6110,6337,7654,9633,8440,9574,124597
Harford County,2030,Non-Hisp Black Male,1595,1535,1569,1491,1211,1227,1338,1446,1330,1181,1061,1297,1188,1014,726,323,186,169,19887
Prince George's County,2010,Non-Hisp Black Male,17803,18135,19829,22145,18558,16591,15696,17310,19324,20439,18579,15256,12728,8290,5512,3334,1628,981,252138
Prince George's County,2010,Non-Hisp White Male,2308,1886,2054,5145,7791,4185,3198,2977,3468,4889,5679,5462,4649,3406,2661,2204,1488,1240,64690
Anne Arundel County,2010,Non-Hisp Other Female,1864,1681,1491,1230,1097,1341,1413,1387,1153,1175,1064,901,700,485,308,191,135,92,17708
Caroline County,2020,Total Female,1007,1000,1283,1199,881,954,1067,1095,1110,1044,1184,1347,1280,1037,857,571,327,406,17649
Dorchester Co,2025,Total Non-Hispanic Black,628,592,686,856,592,514,558,691,718,641,626,689,806,655,511,262,173,301,10499
Talbot County,2035,Total Non-Hispanic Black,283,325,363,345,328,327,337,255,294,327,322,301,319,367,358,296,295,235,5677
Frederick County,2020,Total,15662,14538,15943,17990,17012,17556,16207,15894,14952,16434,18888,20379,17577,13645,10503,7095,4668,5837,260780
Baltimore City,2040,Total Non-Hispanic White,10123,6596,6432,7757,15467,22495,16712,17162,13613,15921,15381,11142,7635,5428,4644,4101,3197,2957,186763
Baltimore City,2040,Total Non-Hispanic Black,25254,23880,24595,26718,26766,24130,25197,23571,23543,27332,26247,23994,19193,15469,15257,15376,12175,10442,389139
Baltimore City,2020,Non-Hisp White Male,5002,2729,2022,3065,5775,12629,12204,8379,5911,4520,4512,4858,4646,3956,3155,2012,1100,979,87454
Washington County,2045,Total Non-Hispanic Black,2638,2434,2364,2529,2992,2863,2499,2264,2322,2186,2009,1557,1377,1320,627,494,364,112,32951
Prince George's County,2020,Non-Hisp Other Male,1771,1564,2050,3094,3205,3011,2198,1826,1865,1746,1682,1597,1493,1165,876,450,199,134,29926
Worcester County,2015,Total Non-Hispanic Black,388,446,489,455,485,390,395,393,315,412,532,513,465,373,260,261,150,167,6889
Caroline County,2015,Hispanic Female,144,112,130,80,101,87,92,77,53,23,26,36,14,6,1,3,2,2,989
Queen Anne's County,2010,Non-Hisp White Female,1079,1328,1392,1338,887,885,910,1342,1770,1930,1867,1483,1430,1201,758,599,415,405,21019
Anne Arundel County,2045,Non-Hisp Other Female,2323,2434,2499,2471,2152,1934,1932,2943,2716,2395,1942,1707,1924,1748,1566,1061,933,361,35041
Calvert County,2010,Non-Hisp Other Female,207,282,240,187,97,99,102,126,154,171,118,93,84,47,26,20,18,8,2079
Garrett County,2025,Total Non-Hispanic White,1429,1452,1493,1595,1578,1594,1527,1574,1756,1660,1925,2137,2414,2297,1830,1426,944,829,29460
Dorchester Co,2035,Total Non-Hispanic Black,760,693,740,758,642,723,608,666,800,871,764,755,774,639,620,485,315,423,12036
Prince George's County,2010,Total,58564,54482,55923,67439,70644,64682,61058,60695,63237,66200,61853,53261,43869,29761,20339,14175,8950,8288,863420
Garrett County,2010,Total Non-Hispanic White,1473,1651,1884,2076,1518,1452,1499,1754,1981,2277,2350,2155,2024,1703,1262,905,670,644,29278
Cecil County,2030,Non-Hisp White Female,2729,2647,2264,2263,2911,3303,2570,2469,2609,2382,2707,3161,3755,3689,3155,2512,1860,1734,48720
Howard County,2035,Total Non-Hispanic Black,5897,6638,7406,6988,4820,5068,5794,6524,7118,6406,6150,4893,4432,4234,3442,2412,1507,1479,91208
Queen Anne's County,2020,Non-Hisp Other Male,34,38,110,93,75,56,38,30,27,44,52,42,33,27,26,14,3,0,742
Somerset County,2020,Total Non-Hispanic Black,504,376,495,1704,2366,1252,653,570,622,512,497,622,439,340,267,152,115,127,11613
Garrett County,2015,Non-Hisp Black Female,16,14,11,15,40,13,3,3,3,1,0,1,1,0,1,3,1,0,126
Howard County,2045,Hispanic Male,1538,1530,1482,1389,1269,1165,1190,1358,1280,1243,1103,978,971,988,644,549,179,34,18890
Charles County,2010,Non-Hisp Other Male,575,534,527,433,305,259,283,289,311,268,255,210,147,96,52,34,22,10,4610
Frederick County,2010,Non-Hisp Other Male,967,865,747,559,331,380,527,637,533,455,370,285,203,128,85,61,24,13,7170
Carroll County,2030,Non-Hisp Other Male,477,455,382,361,269,260,247,228,226,164,143,218,238,257,154,50,15,11,4155
Worcester County,2015,Non-Hisp White Female,731,705,931,862,811,972,887,874,1096,1362,1715,1911,1912,1912,1621,1133,829,799,21063
Howard County,2010,Total Non-Hispanic White,7802,10105,12098,11453,8204,9704,8478,9768,12872,16674,16078,14095,11458,7807,4784,3462,2630,2500,169972
State of Maryland,2030,Total Non-Hispanic White,148627,148935,147024,146117,145612,168905,177742,196147,195668,178911,156862,164671,191561,212652,191917,153919,115161,112718,2953149
Anne Arundel County,2030,Total Female,17824,17462,17347,17046,16830,18223,18863,19496,20160,19438,17603,17788,18845,19429,16511,12834,9655,8121,303475
Kent County,2015,Non-Hisp Other Male,22,34,34,38,30,7,12,12,8,8,8,11,8,9,9,1,0,0,251
Queen Anne's County,2045,Total Hispanic,344,318,286,252,215,199,197,196,150,134,111,152,135,89,43,33,27,15,2896
Dorchester Co,2035,Total Non_Hispanic Other,151,124,97,81,61,162,118,108,91,90,91,72,68,50,54,27,10,3,1458
Allegany County,2040,Hispanic Male,42,40,34,88,81,93,115,91,95,81,81,56,41,34,19,12,5,4,1012
St. Mary's County,2010,Total Female,3734,3838,3750,3932,3634,3398,3240,3474,4119,4417,3908,3115,2577,1824,1337,1005,751,777,52830
Frederick County,2015,Non-Hisp White Male,4730,4949,5834,6315,5740,5412,5189,4886,5607,7002,8148,7479,6072,4951,3163,2095,1493,1386,90451
Wicomico County,2040,Total Female,3922,4021,3924,5118,4964,3871,4365,4674,4451,4175,3828,3392,3197,2748,2801,2791,2256,2776,67274
Dorchester Co,2040,Total Non-Hispanic Black,772,738,818,777,645,599,784,716,814,814,893,852,803,650,572,508,358,544,12657
Montgomery County,2035,Non-Hisp White Male,8081,8947,9835,8633,6806,7974,8095,9621,12670,13982,12704,10195,9959,10400,10999,10098,7815,7240,174054
Wicomico County,2025,Total Female,3239,3049,2904,4894,5405,4151,3681,3683,3303,3225,2970,3180,3563,3357,2937,2255,1425,1615,58836
Washington County,2035,Hispanic Male,600,576,594,556,658,644,526,445,381,348,374,330,286,269,183,25,16,2,6813
Kent County,2030,Total Male,377,422,450,618,656,481,405,575,672,623,654,625,765,1045,819,652,449,332,10620
Frederick County,2040,Non-Hisp White Female,5348,5745,5747,5627,4614,4584,5681,7862,7563,6753,5655,5228,4550,5094,5994,6969,5629,8721,107364
Prince George's County,2020,Total Non-Hispanic Black,33346,33948,34043,33349,35583,42922,39191,35012,33579,36012,40432,42448,37444,30444,23616,14686,8632,8258,562945
Caroline County,2040,Hispanic Female,312,294,269,234,166,186,149,193,127,52,41,43,22,12,10,10,12,14,2146
Kent County,2040,Non-Hisp White Male,276,344,320,444,468,319,286,431,328,509,672,565,597,686,682,784,513,390,8614
Washington County,2030,Total Non-Hispanic Black,1980,1819,1691,1776,2165,2284,2091,2067,1798,1577,1511,1316,1280,1105,457,223,116,36,25292
Somerset County,2035,Total Non-Hispanic White,495,484,507,551,576,528,647,704,794,874,940,921,1013,906,1038,876,615,536,13005
Worcester County,2015,Hispanic Female,71,93,72,61,34,76,66,69,55,46,33,26,18,14,14,9,6,8,771
Cecil County,2040,Hispanic Male,375,398,432,474,441,472,499,450,391,341,316,274,226,152,131,59,30,30,5491
Anne Arundel County,2010,Non-Hisp White Male,10876,11233,11916,12275,13090,12544,11161,11972,14182,16767,16196,14051,12519,9096,5779,4153,2883,2143,192836
Montgomery County,2045,Total Non-Hispanic White,15607,14389,15149,15316,14267,19836,20154,17420,15912,18048,23213,25875,22269,17161,16341,17491,17020,24218,329686
St. Mary's County,2045,Non-Hisp Black Female,988,1042,1028,991,963,896,807,857,1029,959,1078,960,944,607,524,425,353,280,14731
Calvert County,2030,Non-Hisp Other Male,215,200,200,170,172,177,162,130,126,105,94,114,125,100,75,40,17,6,2228
Carroll County,2035,Total Hispanic,723,731,684,690,686,643,654,601,602,539,508,368,347,219,135,95,37,46,8308
Anne Arundel County,2025,Hispanic Female,2413,2312,2473,2346,2162,1789,1698,1932,2032,1792,1482,1130,845,533,348,227,132,81,25727
Cecil County,2025,Total Hispanic,625,541,557,671,586,540,521,434,445,359,314,254,217,157,75,42,17,24,6379
Montgomery County,2015,Non-Hisp White Male,11648,11486,13351,12429,10560,14235,14340,12572,12794,15339,18753,19924,18234,14473,9691,6327,4724,5537,226417
Frederick County,2030,Non-Hisp Black Male,1241,1137,1166,1190,967,1136,1135,1320,1078,1101,1066,1065,976,912,454,297,182,79,16502
Harford County,2020,Total Non_Hispanic Other,1254,1299,1860,1751,1137,951,956,1122,1009,1003,920,853,745,528,394,231,147,59,16219
Washington County,2010,Total Male,4536,4841,4887,4906,4747,5167,4936,5126,5892,6286,5687,4789,4044,2943,2185,1708,1242,955,74877
Dorchester Co,2035,Non-Hisp White Male,473,514,549,524,455,516,603,674,662,749,810,627,671,824,857,672,399,323,10902
State of Maryland,2035,Non-Hisp White Male,73158,74982,76945,76703,74824,78651,86848,91040,97708,97115,88007,75283,75114,83588,88366,74738,52459,51394,1416923
Charles County,2030,Non-Hisp White Female,1282,1225,1278,1294,1219,1290,1437,1592,1491,1550,1441,1693,2221,2525,2169,1718,1255,1205,27885
Allegany County,2035,Non-Hisp Black Male,52,51,57,331,714,809,957,737,667,494,357,192,157,52,37,25,20,7,5716
Frederick County,2025,Non-Hisp Other Male,1219,831,794,1165,793,748,715,610,657,718,787,689,613,497,259,166,96,43,11400
Prince George's County,2020,Non-Hisp White Male,2799,2228,1788,3947,6304,5926,4854,3348,2697,2593,3083,4249,4698,4223,3364,2277,1449,1456,61283
Frederick County,2030,Non-Hisp White Male,6209,6112,5183,4732,4985,7601,7758,7354,6113,5323,4601,5273,6233,7181,5954,4457,3470,2905,101444
Harford County,2040,Total Male,9146,9102,9062,8952,7561,7333,8418,8956,9186,8961,8296,7717,6308,6249,6352,5698,4584,4726,136607
Allegany County,2040,Hispanic Female,51,34,31,78,49,37,39,57,52,54,41,18,19,19,11,7,8,17,622
Garrett County,2020,Non-Hisp White Female,695,707,727,792,817,702,710,866,791,955,1074,1191,1190,1026,876,677,440,500,14736
